title,lemmatized_text
Highlander: Endgame,immortal connor duncan macleod join force man connor distant past highland scotland kell immensely powerful immortal lead army equally powerful deadly immortal swordsman assassin immortal alive able defeat kell yet neither connor duncan skilled enough take live two eventually come one inevitable conclusion one must die combined power highlander bring kell good one question
Urban Legends: Final Cut,making horror movie take terrifying reality student prestigious film school country alpine university someone determined win best film award cost even mean eliminating competition one safe everyone suspect
Remembering Whiskey,overview found
Une affaire d'hommes,overview found
La Passion,overview found
The Portal,investigator pursuing bizarre hemorrhagic illness lead strange black painting discover portal another dimension
12 Angry Men,trial man accused father murder lone juror take stand guilty verdict handed others result preconception prejudice
The Story of Us,ben katie jordan married couple go hard time fifteen year marriage
Horton Hears a Who!,one day horton elephant hears cry help coming speck dust even though see anyone speck decides help turn speck dust home who live city whoville horton agrees help protect who home
The Stepford Wives,joanna eberhart come quaint little town stepford connecticut family soon discovers lie sinister truth perfect behavior female resident
Cashback,painful breakup ben develops insomnia kill time start working late night shift local supermarket artistic imagination run wild
White Fang,jack london classic adventure story friendship developed yukon gold hunter mixed dog wolf rescue hand man mistreats
Inside Deep Throat,seemingly typical shoestring budget pornographic film made florida hotel deep throat starring linda lovelace film would surpass wildest expectation everyone involved become one successful independent film time caught public imagination met spirit time even self appointed guardian public morality struggled suppress created brief moment possible future sexuality film bold artistic potential film cover story making controversial film stunning success hysterical opposition along dark side mob influence allegation set mistreatment film star
The Acid House,acid house surreal triptych adapted trainspotting author irvine welsh acclaimed collection short story combining vicious sense humor hard talking drama film reach heart mind chemical generation casting dark unholy light hidden corner human psyche directed paul mcguigan film dramatises three story book granton star cause soft touch amp acid house
One Hundred and One Dalmatians,litter dalmatian puppy abducted minion cruella de vil parent must find us diabolical fashion statement disney animation classic dalmatian pongo tired bachelor dog life spy lovely perdita maneuver master roger meeting perdita owner anita owner fall love marry keeping pongo perdita together perdita give birth litter puppy anita old school friend cruella de vil want buy roger decline offer cruella hire criminal badun brother steal fur coat
